iata_code,name,latitude,longitude,country,city
,Barnes Seaplane Base,47.89960098,-92.55740356,US,Cook
,Highway Patrol Troop C Headquarters Heliport,38.64170074,-90.48429871,US,Town and Country
,Crystal Lakes Resort Airport,48.78910065,-114.8799973,US,Fortine
,Topsail Airpark,34.47529984,-77.58139801,US,Holly Ridge
,Detour Airport,40.84360123,-100.6529999,US,Wellfleet
,Moore Airfield,43.6445,-72.086998,US,Canaan
,Albert Guido Memorial Heliport,40.7417984,-74.13710022,US,Newark
,Champion Ranch Airport,33.008611,-104.540278,US,Artesia
,Lantana Ranch Airport,38.76390076,-119.0270004,US,Yerington
,Vassar Hospital Heliport,41.694187,-73.935582,US,Poughkeepsie
,Galion Community Hospital Heliport,40.73059845,-82.8015976,US,Galion
,Lawrence Airport,35.294498,-98.636496,US,Eakly
,Red & White Flying Service Airport,43.119301,-121.044997,US,Silver Lake
,Pine Heliport,40.655602,-80.050903,US,Mars
,Bierly(Personal Use) Airport,40.93059921,-77.73889923,US,Bellefonte
,Nort's Resort Airport,41.59590149,-76.02960205,US,Meshoppen
,York Airport,35.03210068,-81.25279999,US,York
,Thirty Thirty Matlock Office Center Heliport,32.69419861,-97.11579895,US,Arlington
,Smith Field,32.73759842,-96.4280014,US,Forney
,Colonial Air Park,34.9958992,-89.73059845,US,Collierville
,St Joseph Hospital Heliport,32.7285,-97.324501,US,Fort Worth
,Mims Farm Ultralightport,32.38759995,-96.87750244,US,Waxahachie
,Duckwater Airport,38.85160065,-115.6340027,US,Duckwater
,La Sal Junction Airport,38.30830002,-109.3960037,US,La Sal
,Pickles Airport,39.125,-77.92500305,US,Berryville
,Willapa Harbor Heliport,46.66320038,-123.8119965,US,South Bend
,Prehn Cranberry Company Airport,44.00999832,-90.3891983,US,Tomah
,Whidbey General Hospital Heliport,48.21340179,-122.6849976,US,Coupeville
,Odyssey Heliport,47.518178,-122.210908,US,Renton
,Keyhole Airport,44.34719849,-104.810997,US,Moorcroft
,Seton Medical Center Hays Heliport,30.007222,-97.853333,US,Kyle
,Meadowood Ranch Heliport,32.02019882,-95.74549866,US,Athens
,Rustic Wilderness Airport,61.87689972,-150.0980072,US,Willow
,Bass Field,30.37150002,-87.76439667,US,Foley
,Three Rivers Airport,34.822445,-92.44442,US,Little Rock
,Winchester Farm Airstrip,32.376401,-109.936996,US,Willcox
,Swepi Beta Platform Ellen Heliport,33.58250046,-118.1289978,US,Huntington Beach
,Shannon Field,34.12960052,-90.52400208,US,Clarksdale
,Conover Air Lodge Airport,34.761101,-119.058998,US,Frazier Park
,Mc Cullough Airport,37.6432991,-106.0469971,US,Monte Vista
,Strangers Point Heliport,41.91960144,-72.44450378,US,Ellington
,Osborn Airfield,28.52669907,-81.87480164,US,Groveland
,Cuchens Airport,30.642527,-86.118779,US,Defuniak Springs
,Doug Bolton Field,34.20259857,-83.42900085,US,Commerce
,Etowah Fields Airport,34.1753006,-84.92440033,US,Euharlee
,K3 Helipad Heliport,21.36199951,-157.951004,US,Pearl Harbor
,Boone County Hospital Heliport,42.05609894,-93.87799835,US,Boone
,Morgan Ranch Airport,44.55550003,-115.3050003,US,Cascade
,King Ultralightport,40.06230164,-86.21050262,US,Westfield
,Diamond P. Field,40.20890045,-85.540802,US,Muncie
,Condell Medical Center Heliport,42.27460098,-87.95729828,US,Libertyville
,Jmj Landing Airport,39.22219849,-96.05529785,US,St Marys
,St Claire Healthcare Heliport,38.181441,-83.443319,US,Morehead
,Boone National Guard Heliport,38.1833992,-84.89990234,US,Frankfort
,La State Police Troop G Heliport,32.53129959,-93.66020203,US,Bossier City
,Windy Hill Heliport,30.14830017,-91.91899872,US,Broussard
,Cuttyhunk Heliport,41.41960144,-70.92700195,US,Gosnold
,Garner Field,38.672544,-76.709739,US,Brandywine
,Nadeau's Airfield,43.5373,-70.929397,US,Acton
,Fairplains Airpark,43.15710068,-85.14849854,US,Greenville
,Greenbush Municipal Airport,48.68330002,-96.19200134,US,Greenbush
,Troy Airpark,39.04999924,-91.03350067,US,Troy
,Watts Field,34.10010147,-90.84680176,US,Rochdale
,Barrett Field,47.2374,-111.74304,US,Cascade
,Timber Line Airpark,36.654233,-93.797418,US,Cassville
,Race City Heliport,35.541111,-80.597778,US,Landis
,Benes Service Airport,41.07450104,-96.90450287,US,Valparaiso
,Iroquois Landing Seaplane Base,44.65710068,-71.21910095,US,Dummer
,Penske Heliport,40.55730057,-74.46710205,US,Piscataway
,Paiute Meadows Airport,41.30329895,-118.5979996,US,Winnemucca
,Hansen Heliport,43.13259888,-75.65550232,US,Durhamville
,Zimmerman Airport,41.37639999,-83.08329773,US,Fremont
,Murtha Airport,41.80199814,-80.56539917,US,Conneaut
,Canon Heliport,35.458401,-97.525297,US,Oklahoma City
,Rowena Dell Airport,45.68149948,-121.3160019,US,The Dalles
,Stottle Memorial Heliport,40.403596,-77.556602,US,Honey Grove
,Lag Iii Heliport,40.43830109,-79.76999664,US,Monroeville
,Peco Berwyn Heliport,40.06959915,-75.4552002,US,Berwyn
,Cuylers Airport,18.45330048,-66.36689758,PR,Vega Baja
,Hughes Ultralightport,41.90060043,-77.2303009,US,Tioga
,Harpers Airport,32.75849915,-81.22480011,US,Estill
,Wise River Airport,45.76910019,-112.9820023,US,Wise River
,Matagorda Shore Facility Heliport,28.72139931,-95.87380219,US,Matagorda
,Baylor Medical Center Heliport,32.395401,-96.86419678,US,Waxahachie
,Ellis Field,35.7806015,-86.584198,US,Murfreesboro
,FWOMC Heliport,32.747601,-97.370003,US,Fort Worth
,The Palms At Kitty Hawk Airport,33.37040329,-101.9228821,US,New Home
,Lucin Airport,41.36629868,-113.8430023,US,Lucin
,The Greenhouse Airport,38.43569946,-77.85720062,US,Culpeper
,Northstar Aviation Heliport,36.63880157,-82.11669922,US,Bristol
,Cawleys South Prairie Airport,47.15230179,-122.0940018,US,South Prairie
,Beer Airport,45.0318985,-92.65579987,US,Hudson
,Fowler Field,48.74580002,-119.3190002,US,Tonasket
,JLS Farms Airport,33.591319,-95.882864,US,Honey Grove
,Seidel Ranch Airport,30.147699,-97.662804,US,Elroy
,Trapper T Heliport,61.556055,-149.284527,US,Palmer
,Joe Clouds Seaplane Base,60.72722244,-151.132782,US,Kenai
,Highland Medical Center Heliport,34.662604,-86.046774,US,Scottsboro
,Hscmh Heliport,34.35760117,-92.78849792,US,Malvern
,Thompson International Aviation Airport,31.4333992,-110.0839996,US,Hereford
,Grossmont Hospital Heliport,32.779484,-117.006952,US,La Mesa
,Kugel-Strong Airport,40.21250153,-104.7440033,US,Platteville
,Lake Persimmon Airstrip,27.35309982,-81.40809631,US,Lake Placid
,Tharpe Airport,30.8288,-85.731003,US,Bonifay
,Ranger Heliport,26.68370056,-80.18730164,US,West Palm Beach
,HIA Airport,32.5623056,-81.8576944,US,Statesboro
,Clarks Dream Strip,39.644199,-83.018204,US,Circleville
,East Field,41.58190155,-92.46130371,US,Montezuma
,Flying Y Ranch Airport,44.79430008,-116.5329971,US,Council
,Davis Field Ultralightport,37.9620018,-87.77890015,US,Mount Vernon
,Wix Airport,41.40230179,-87.8167038,US,Monee
,Heinzman Airport,40.18000031,-86.01249695,US,Arcadia
,OSF St Anthony's Health Center Heliport,38.904999,-90.173401,US,Alton
,Valley Grain Heliport,39.86470032,-95.26409912,US,Highland
,Flying H Farms Airport,37.79169846,-87.54139709,US,Henderson
,Damien Heliport,30.19960022,-91.12789917,US,Carville
,Fmc Nr 1 Heliport,32.1590004,-91.70800018,US,Winnsboro
,Lakeside Marina Seaplane Base,44.32089996,-69.88950348,US,East Winthrop
,Hadley Airport,42.39310074,-72.55200195,US,Hadley
,Upper Chesapeake Medical Center Heliport,39.52249908,-76.3266983,US,Bel Air
,Maple Ridge Airport,44.08420181,-70.62729645,US,Harrison
,Harold Miller Heliport,43.55089951,-83.86219788,US,Bay City
,Nauerth Land Ranch Airport,43.62519836,-95.22470093,US,Lakefield
,Cahoochie Airport,37.884499,-93.131599,US,Urbana
,Vicksburg Medical Center Heliport,32.31880188,-90.8832016,US,Vicksburg
,Cascade Field,47.267327,-111.71748,US,Cascade
,Mc Donnell Airport,38.49250031,-94.41249847,US,Archie
AAA,Anaa Airport,-17.3526001,-145.5099945,PF,
,Pilots Ridge Airport,34.10430145,-77.90419769,US,Carolina Beach
,Olafson Brothers Airport,48.62639999,-97.82900238,US,Edinburg
,Hyde Ranch Airport,41.54639816,-99.33119965,US,Comstock
,Lorden Heliport,42.81539917,-71.12439728,US,Milford
,At&T Heliport,40.668713,-74.410152,US,Berkeley Heights
,Llama Ranch Airport,40.58440018,-115.2979965,US,Ruby Valley
,Talmage Field,40.95840073,-72.71679688,US,Riverhead
,Gibbs Field,41.41839981,-83.01740265,US,Fremont
,"Cleveland Clinic, Marymount Hospital Heliport",41.420312,-81.599552,US,Garfield Heights
,Sahoma Lake Airport,36.04119873,-96.16139984,US,Sapulpa
,Powwatka Ridge Airport,45.85540009,-117.4840012,US,Troy
,Collegeville Heliport,40.16289902,-75.46569824,US,Collegeville
,M.P. Metals Heliport,41.066861,-76.180806,US,Berwick
,Sun View Field Airport,39.065947,-94.921703,US,Bonner Springs
,Ziggy's Field,40.849998,-77.905602,US,Bellefonte
,Sandy River Airport,45.40179825,-122.2289963,US,Sandy
,Seacoast Medical Center Heliport,33.86500168,-78.66190338,US,Little River
,Gay Hill Farm Airport,30.262699,-96.500198,US,Gay Hill
,Barronena Ranch Airport,27.49110031,-98.66950226,US,Hebbronville
,Eagles Landing Heliport,35.92250061,-83.57939911,US,Sevierville
,Shannon Medical Center Heliport,31.4598999,-100.4380035,US,San Angelo
,M D K Field,29.58160019,-95.30719757,US,Pearland
,A Z Minerals Corporation Airport,37.12080002,-109.9860001,US,Mexican Hat
,Whipoorwill Springs Airport,38.66460037,-77.57969666,US,Nokesville
,Spangle Field,47.40819931,-117.3720016,US,Spangle
,Zink Airport,44.028873,-88.883945,US,Berlin
,Aerostone Ranch Airport,45.875,-120.6699982,US,Goldendale
,Creekside Airport,31.31809998,-100.7539978,US,Mertzon
,Flying W Ranch Airport,60.535833,-150.811387,US,Soldotna
,Anniston AHP (Anniston Army Depot),33.62639999,-85.96720123,US,Anniston
,Saline Memorial Hospital Heliport,34.574319,-92.586047,US,Benton
,(Old) Chinle Airport,36.147197,-109.560771,US,Chinle
,Gray Butte Field,34.5639,-117.675003,US,Palmdale
,Hunt's Sky Ranch Airport,33.08169937,-116.4410019,US,Julian
